sku;id_woocommerce;nom;categorie;a_fournir;prix;sur_devis
0232282000;;Capteur pour oxymétre de pouls pc-60n;Oxymètres de pouls;description;100.00;oui
1011201091- 1011202021- 1011203071- 1011204071- 1011205101- 1011206101- 1011207061- 1011208081- 1011;;Cathéter bd insyte™;Cathéters & pansements;photo;100.00;oui
1011221091 1011222021 1011224071 1011234071 1011227101 1011236101 1011228061 1011238061 1011229081 1;;Cathéter bd insyte™ autoguard;Cathéters & pansements;photo;100.00;oui
1011102021- 1011107061- 1011144071- 1011145071- 1011146101- 1011147061- 1011148081- 1011116101- 1011;;Cathéter surflo®;Cathéters & pansements;photo;100.00;oui
1011155081- 1011151101- 1011154101- 1011153061- 1011152081- 1011165081- 1011166081- 1011164101- 1011;;Cathéter versatus®;Cathéters & pansements;photo;100.00;oui
OPT-WC-41854;41854;Centrifugeuse réfrigérée à grande vitesse, CFGR-18.5J;Centrifugeuses;photo;100.00;oui
OPT-WC-41844;41844;Centrifugeuse à basse vitesse, CFG-550JP;Centrifugeuses;photo;100.00;oui
OPT-WC-41666;41666;Chauffe-bloc, DBI-100V/DBI-R100V;Biologie Clinique;photo;100.00;oui
2553472361- 2553472371- 2553472381- 2553472391- 2553472401- 2553472411- 2553472421- 2553472431- 2553;;Chaussures chut balad;Podologie;photo;100.00;oui
2553530361- 2553530371- 2553530381- 2553530391- 2553530401- 2553530411- 2553530421- 2553530431- 2553;;Chaussures chut balmor;Podologie;photo;100.00;oui
2553272361- 2553272371- 2553272381- 2553272391- 2553272401- 2553272411- 2553272421- 2553273361- 2553;;Chaussures chut mariet;Podologie;photo;100.00;oui
OPT-WC-37152;37152;Chevillère;Équipement du domicile;photo;100.00;oui
0102043000- 0102044000;;Ciseaux dauphin mousse-pointu joleti;Équipement du domicile;description;5.83;non
1503104080- 1503105080- 1503122080- 1503106080- 1503112080- 1503107080- 1503109080- 1503110080- 1503;;Collecteur sharpsafe®;Collecteurs de déchets;photo;100.00;oui
1304020011- 1304021011- 1304046001- 1304022011- 1304023011- 1304024011- 1304047001- 1304025011- 1304;;Compresse de gaze stérile gazin;Filets tubulaires & compresses;photo;100.00;oui
1312001011- 1312001012- 1312002011- 1312002012- 1312003011- 1312003012- 1312009011- 1312010011- 1312;;Compresse en non-tissé non stérile vliwasoft®;Filets tubulaires & compresses;photo;100.00;oui
1322050001- 1322051001- 1322064001- 1322065001- 1322066001- 1322067001- 1322070001- 1322072001- 1322;;Compresse en non-tissé stérile médicomp;Filets tubulaires & compresses;photo;100.00;oui
1322030002- 1322001011- 1322020011- 1322021011- 1322022011- 1322031001- 1322002011- 1322023011- 1322;;Compresse en non-tissé stérile vliwasoft;Filets tubulaires & compresses;photo;100.00;oui
OPT-WC-41764;41764;Congélateur cryogénique -150 ULF150-H130;Équipements divers;photo;100.00;oui
OPT-WC-41744;41744;Congélateur de laboratoire -40 LF40-940;Équipements divers;photo;100.00;oui
OPT-WC-41757;41757;Congélateur à ultra basse température -86 ℃ série ULF86;Équipements divers;photo;100.00;oui
OPT-WC-41749;41749;Congélateur à ultra basse température -86℃ série ULF86-E;Équipements divers;photo;100.00;oui
OPT-WC-41314;41314;Contrôle de l'hématologie contrôle du sang et calibrage;Biologie Clinique;photo;100.00;oui
OPT-WC-37118;37118;Coudière;Équipement du domicile;photo;100.00;oui
OPT-WC-41728;41728;Cryostat RMT-R300;Biologie Clinique;photo;100.00;oui
OPT-WC-37123;37123;Cuissière;Équipement du domicile;photo;100.00;oui
1501061000;;Cupule inox avec bec fond plat;Pissettes;description;100.00;oui
0117020000- 0117021000- 0117022000- 0117023000- 0117024000- 0117025000- 0117026000;;Curette fine fenàtrée joleti;Équipement du domicile;description;11.52;non
0117013000- 0117014000- 0117015000- 0117016000- 0117017000- 0117018000- 0117019000;;Curette fine pleine joleti;Équipement du domicile;description;10.80;non
1822076010- 1822077010- 1822078010- 1822076060- 1822077060- 1822078060- 1822076020- 1822077020- 1822;;Drap housse ice;Linge de maison;photo;100.00;oui
1822030010- 1822031010- 1822032010- 1822030060- 1822031060- 1822032060- 1822030020- 1822031020- 1822;;Drap housse standard;Linge de maison;photo;100.00;oui
OPT-WC-41693;41693;Extracteur automatique d'acide nucléique, NAE-32P;Biologie Clinique;photo;100.00;oui
OPT-WC-37158;37158;Fauteil de Repos (emballé à plat);Équipement du domicile;photo;100.00;oui
1306201064- 1306217064- 1306202064- 1306203064- 1306207064- 1306223064- 1306204064- 1306208064- 1306;;Fermeture cutanée filapeau®;Équipement du domicile;photo;100.00;oui
1306201061- 1306217061- 1306218061- 1306202061- 1306219061- 1306203061- 1306207061- 1306221061- 1306;;Fermeture cutanée filapeau®;Sets de suture, agrafeuses & ôtes-agraphes;photo;100.00;oui
1305040010- 1305041010- 1305042010- 1305043010- 1305044010- 1305105010- 1305106010- 1305107010- 1305;;Filet tubulaire tg® fix;Filets tubulaires & compresses;photo;100.00;oui
OPT-WC-41620;41620;Finecare™ FIA Meter III Plus;Immunologie;photo;100.00;oui
OPT-WC-41630;41630;Finecare™ FIA Meter Plus;Immunologie;photo;100.00;oui
OPT-WC-41625;41625;Finecare™ FIA Meter Ⅱ Plus SE;Immunologie;photo;100.00;oui
1106058001;;GANTS NITRILE RESTORE SENS®;Gants d'examen et de chirurgie;description;16.92;non
1506001220;;GARROT PLAT EN LATEX;Garrots;description;1.28;non
OPT-WC-37128;37128;Genouillère;Équipement du domicile;photo;100.00;oui
1501079000- 1501083000- 1501084000;;Haricot inox 18/10e;Pissettes;description;6.65;non
0105061001- 0105062001- 0105063001- 0105064001- 0105065001- 0105066001- 0105067001- 0105068001- 0105;;Lame de bistouri;Équipement du domicile;photo;100.00;oui
0105021001- 0105033001- 0105022001- 0105023001- 0105024001- 0105025001- 0105026001- 0105027001- 0105;;Lame de bistouri;Équipement du domicile;photo;100.00;oui
0104001000;;MARTEAU DE BABINSKI JOLETI;Instrumentation qualité service;description;7.51;non
1409012011;;MASQUE RESPIRATOIRE FFP2 3M™(11);Hygiène & Protection;photo;49.91;non
0201017030- 0201017100- 0201017060- 0201016060- 0201016020- 0201016030- 0201016090- 0201016100- 0201;;Magister®;Équipement du domicile;photo;100.00;oui
0115011000- 0115010000;;Marqueur dermographique*;Équipement du domicile;description;1.99;non
OPT-WC-41840;41840;Microcentrifugeuse, CFG-Mini7E;Centrifugeuses;photo;100.00;oui
OPT-WC-41800;41800;Microscope biologique MSC-B102T(Siedentopf);Microscopes;photo;100.00;oui
OPT-WC-41795;41795;Microscope biologique, MSC-B200E;Microscopes;photo;100.00;oui
OPT-WC-41814;41814;Microscope biologique, MSC-B201;Microscopes;photo;100.00;oui
OPT-WC-41835;41835;Microscope biologique, MSC-B208(Siedentopf);Microscopes;photo;100.00;oui
OPT-WC-41818;41818;Microscope composé, MSC-B203T;Microscopes;photo;100.00;oui
